"Date","VKOSPI_Close","VKOSPI_Change"
2015-04-03,11.02,-2.3
2015-04-06,10.92,-0.91
2015-04-07,10.95,0.27
2015-04-08,11.29,3.11
2015-04-09,11.12,-1.51
2015-04-10,11.37,2.25
2015-04-13,12.05,5.98
2015-04-14,12.09,0.33
2015-04-15,11.96,-1.08
2015-04-16,12.5,4.52
2015-04-17,12.29,-1.68
2015-04-20,12.61,2.6
2015-04-21,12.03,-4.6
2015-04-22,12.32,2.41
2015-04-23,13.52,9.74
2015-04-24,13.1,-3.11
2015-04-27,13.21,0.84
2015-04-28,12.48,-5.53
2015-04-29,12.26,-1.76
2015-04-30,11.76,-4.08
2015-05-04,12.1,2.89
2015-05-06,12.4,2.48
2015-05-07,12.13,-2.18
2015-05-08,12.54,3.38
2015-05-11,12.71,1.36
2015-05-12,12.72,0.08
2015-05-13,13.06,2.67
2015-05-14,12.76,-2.3
2015-05-15,12.14,-4.86
2015-05-18,11.62,-4.28
2015-05-19,11.39,-1.98
2015-05-20,11.59,1.76
2015-05-21,11.64,0.43
2015-05-22,11.62,-0.17
2015-05-26,12.36,6.37
2015-05-27,13.1,5.99
2015-05-28,12.84,-1.98
2015-05-29,12.59,-1.95
2015-06-01,13.3,5.64
2015-06-02,13.38,0.6
2015-06-03,13.9,3.89
2015-06-04,14.52,4.46
2015-06-05,14.44,-0.55
2015-06-08,15,3.88
2015-06-09,15.54,3.6
2015-06-10,15.26,-1.8
2015-06-11,13.82,-9.44
2015-06-12,13.3,-3.76
2015-06-15,13.96,4.96
2015-06-16,14.24,2.01
2015-06-17,14.36,0.84
2015-06-18,14.2,-1.11
2015-06-19,13.9,-2.11
2015-06-22,14.24,2.45
2015-06-23,13.1,-8.01
2015-06-24,12.72,-2.9
2015-06-25,12.83,0.86
2015-06-26,12.66,-1.33
2015-06-29,14.69,16.03
2015-06-30,14.45,-1.63
2015-07-01,13.6,-5.88
2015-07-02,13.13,-3.46
2015-07-03,13.75,4.72
2015-07-06,15.4,12
2015-07-07,14.51,-5.78
2015-07-08,15.65,7.86
2015-07-09,14.92,-4.66
2015-07-10,15.41,3.28
2015-07-13,14.92,-3.18
2015-07-14,14.18,-4.96
2015-07-15,13.4,-5.5
2015-07-16,12.68,-5.37
2015-07-17,12.88,1.58
2015-07-20,13.24,2.8
2015-07-21,13.17,-0.53
2015-07-22,13.47,2.28
2015-07-23,13.13,-2.52
2015-07-24,13.26,0.99
2015-07-27,13.78,3.92
2015-07-28,14.09,2.25
2015-07-29,13.65,-3.12
2015-07-30,13.85,1.47
2015-07-31,13.54,-2.24
2015-08-03,14.03,3.62
2015-08-04,13.32,-5.06
2015-08-05,12.97,-2.63
2015-08-06,13.67,5.4
2015-08-07,13.51,-1.17
2015-08-10,13.7,1.41
2015-08-11,13.85,1.09
2015-08-12,14.53,4.91
2015-08-13,13.93,-4.13
2015-08-17,14.34,2.94
2015-08-18,14.13,-1.46
2015-08-19,14.57,3.11
2015-08-20,14.92,2.4
2015-08-21,18.51,24.06
2015-08-24,28.58,54.4
2015-08-25,28.05,-1.85
2015-08-26,22.99,-18.04
2015-08-27,20.33,-11.57
2015-08-28,18.34,-9.79
2015-08-31,19.75,7.69
2015-09-01,22.09,11.85
2015-09-02,22.4,1.4
2015-09-03,20.41,-8.88
2015-09-04,22.74,11.42
2015-09-07,24.14,6.16
2015-09-08,21.34,-11.6
2015-09-09,18.01,-15.6
2015-09-10,20.75,15.21
2015-09-11,19.86,-4.29
2015-09-14,21.88,10.17
2015-09-15,22.03,0.69
2015-09-16,21.23,-3.63
2015-09-17,20.76,-2.21
2015-09-18,17.5,-15.7
2015-09-21,19.91,13.77
2015-09-22,18.31,-8.04
2015-09-23,19.71,7.65
2015-09-24,19.52,-0.96
2015-09-25,19.56,0.2
2015-09-30,20.48,4.7
2015-10-01,18.44,-9.96
2015-10-02,18.47,0.16
2015-10-05,17.69,-4.22
2015-10-06,17.06,-3.56
2015-10-07,15.89,-6.86
2015-10-08,15.97,0.5
2015-10-12,16.2,1.44
2015-10-13,15.96,-1.48
2015-10-14,16.49,3.32
2015-10-15,15.92,-3.46
2015-10-16,15.84,-0.5
2015-10-19,16.31,2.97
2015-10-20,15.49,-5.03
2015-10-21,14.41,-6.97
2015-10-22,14.5,0.62
2015-10-23,13.94,-3.86
2015-10-26,14.22,2.01
2015-10-27,14.3,0.56
2015-10-28,14.69,2.73
2015-10-29,14.7,0.07
2015-10-30,14.22,-3.27
2015-11-02,14.6,2.67
2015-11-03,13.52,-7.4
2015-11-04,13.68,1.18
2015-11-05,13.69,0.07
2015-11-06,13.98,2.12
2015-11-09,14.04,0.43
2015-11-10,15.36,9.4
2015-11-11,14.68,-4.43
2015-11-12,14.79,0.75
2015-11-13,14.9,0.74
2015-11-16,16.77,12.55
2015-11-17,14.99,-10.61
2015-11-18,14.97,-0.13
2015-11-19,13.68,-8.62
2015-11-20,13.38,-2.19
2015-11-23,13.09,-2.17
2015-11-24,12.57,-3.97
2015-11-25,12.58,0.08
2015-11-26,12.67,0.72
2015-11-27,12.86,1.5
2015-11-30,14.37,11.74
2015-12-01,13.65,-5.01
2015-12-02,13.92,1.98
2015-12-03,14.86,6.75
2015-12-04,15.44,3.9
2015-12-07,15.06,-2.46
2015-12-08,15.73,4.45
2015-12-09,15.66,-0.45
2015-12-10,15.88,1.4
2015-12-11,15.39,-3.09
2015-12-14,17.14,11.37
2015-12-15,17.59,2.63
