"Date","KODEX 200_Close","KODEX 200_NAV","KODEX 200_Premium"
2018-09-12,29260,29301.06,-0.14
2018-09-13,29300,29307.53,-0.03
2018-09-14,29765,29792.99,-0.09
2018-09-17,29530,29586.23,-0.19
2018-09-18,29660,29673.49,-0.05
2018-09-19,29685,29728.06,-0.14
2018-09-20,29965,29967.57,-0.01
2018-09-21,30085,30143.04,-0.19
2018-09-27,30315,30385.91,-0.23
2018-09-28,30125,30178.77,-0.18
2018-10-01,30120,30143.19,-0.08
2018-10-02,29755,29779.67,-0.08
2018-10-04,29295,29305.28,-0.04
2018-10-05,29250,29255.76,-0.02
2018-10-08,29105,29118.52,-0.05
2018-10-10,28915,28914.68,0
2018-10-11,27720,27643.75,0.28
2018-10-12,27990,28063.74,-0.26
2018-10-15,27835,27846.34,-0.04
2018-10-16,27760,27816.13,-0.2
2018-10-17,28120,28131.38,-0.04
2018-10-18,27870,27873.92,-0.01
2018-10-19,27980,27988.4,-0.03
2018-10-22,28035,28065.28,-0.11
2018-10-23,27385,27379.64,0.02
2018-10-24,27245,27263.25,-0.07
2018-10-25,26810,26798.15,0.04
2018-10-26,26385,26396.81,-0.04
2018-10-29,26170,26067.93,0.39
2018-10-30,26270,26293.79,-0.09
2018-10-31,26390,26447.2,-0.22
2018-11-01,26280,26340.21,-0.23
2018-11-02,27275,27299.31,-0.09
2018-11-05,26975,27050.24,-0.28
2018-11-06,27165,27201.18,-0.13
2018-11-07,27025,27089.11,-0.24
2018-11-08,27255,27254.92,0
2018-11-09,27090,27177.07,-0.32
2018-11-12,27160,27201.8,-0.15
2018-11-13,26955,27013.4,-0.22
2018-11-14,26885,26931.51,-0.17
2018-11-15,27155,27197.17,-0.16
2018-11-16,27135,27208.37,-0.27
2018-11-19,27230,27274.24,-0.16
2018-11-20,26960,27000.48,-0.15
2018-11-21,26830,26870.3,-0.15
2018-11-22,26800,26819.58,-0.07
2018-11-23,26630,26676.28,-0.17
2018-11-26,26990,27021.11,-0.12
2018-11-27,27200,27249.77,-0.18
2018-11-28,27365,27386.65,-0.08
2018-11-29,27415,27457.12,-0.15
2018-11-30,27160,27176.39,-0.06
2018-12-03,27635,27659.24,-0.09
2018-12-04,27325,27370.45,-0.17
2018-12-05,27160,27190.15,-0.11
2018-12-06,26755,26760.14,-0.02
2018-12-07,26845,26870.03,-0.09
2018-12-10,26595,26576.89,0.07
2018-12-11,26530,26511.04,0.07
2018-12-12,26875,26888.19,-0.05
2018-12-13,27015,26980.3,0.13
2018-12-14,26585,26594.62,-0.04
2018-12-17,26660,26672.19,-0.05
2018-12-18,26565,26556.87,0.03
2018-12-19,26740,26769.34,-0.11
2018-12-20,26505,26519.46,-0.05
2018-12-21,26480,26544.43,-0.24
2018-12-24,26490,26483.5,0.02
2018-12-26,26145,26136.54,0.03
2018-12-27,26470,26537.16,-0.25
2018-12-28,26580,26677.03,-0.36
2019-01-02,26270,26301.96,-0.12
2019-01-03,26015,26055.02,-0.15
2019-01-04,26215,26267.59,-0.2
2019-01-07,26590,26635.45,-0.17
2019-01-08,26415,26444.11,-0.11
2019-01-09,26960,27037.8,-0.29
2019-01-10,26950,27032.74,-0.31
2019-01-11,27115,27188.93,-0.27
2019-01-14,26880,26974.72,-0.35
2019-01-15,27420,27468.09,-0.18
2019-01-16,27540,27597.66,-0.21
2019-01-17,27600,27661.56,-0.22
2019-01-18,27810,27861.6,-0.19
2019-01-21,27825,27873.96,-0.18
2019-01-22,27685,27744.67,-0.22
2019-01-23,27845,27861.91,-0.06
2019-01-24,28075,28134.65,-0.21
2019-01-25,28585,28639.61,-0.19
2019-01-28,28570,28636.36,-0.23
2019-01-29,28705,28771.72,-0.23
2019-01-30,29055,29133,-0.27
2019-01-31,29025,29061.78,-0.13
2019-02-01,28995,29052.72,-0.2
2019-02-07,28995,29038.47,-0.15
2019-02-08,28585,28622.88,-0.13
2019-02-11,28635,28683.93,-0.17
2019-02-12,28790,28842.22,-0.18
2019-02-13,28935,28971.7,-0.13
2019-02-14,29215,29343.23,-0.44
2019-02-15,28830,28872.19,-0.15
2019-02-18,29040,29064.07,-0.08
2019-02-19,28905,28965.64,-0.21
2019-02-20,29240,29313.34,-0.25
2019-02-21,29240,29313.91,-0.25
2019-02-22,29255,29348.08,-0.32
2019-02-25,29315,29373.57,-0.2
2019-02-26,29205,29262.28,-0.2
2019-02-27,29300,29349.51,-0.17
