Date,GARCH_mu_t1,GARCH_sigma_t1,GARCH_VaR_5_t1,GJR_mu_t1,GJR_sigma_t1,GJR_VaR_5_t1,return(%),Risk_Label
2020-05-08,0.04030281387755308,2.074456330067982,-3.2559343556360147,0.02133086522664382,1.890403002293568,-2.9994317040989538,0.8452693340149201,Low Risk
2020-05-11,0.040283490985462814,2.1676508996453197,-3.403903330046171,0.0212866139403433,1.8279739082440365,-2.8995470291207273,-0.65289369083278,Low Risk
2020-05-12,0.040313301640913395,2.009948869916861,-3.1531688800955426,0.0212361396713128,1.7665438845299364,-2.8012803312118475,-0.6216583821604447,Low Risk
2020-05-13,0.040489394517206206,1.8848723108055543,-2.9542129490333187,0.021368031485851365,1.6951104450591437,-2.686945206049541,0.9740507397401029,Low Risk
2020-05-14,0.04043336672603874,1.9330324414674902,-3.030773082844126,0.021257648548368528,1.6551921981964774,-2.623219742785888,-0.8636019156983985,Low Risk
2020-05-15,0.04059738592245312,1.8154444932488858,-2.843554631450778,0.021290780905638188,1.5830871513247924,-2.5077266083937166,0.0551786996439944,Low Risk
2020-05-18,0.040799836743558145,1.684296819710572,-2.63486865649087,0.021408682215415344,1.51570713647579,-2.399811948219986,0.6480431017784641,Low Risk
2020-05-19,0.04089619899736233,1.7686242475239549,-2.7690940071893704,0.021640266065086497,1.4791274024021492,-2.341555662230742,2.4555130325441508,Low Risk
2020-05-20,0.04111501156281906,1.8416288988023237,-2.884614079978863,0.02173270166804535,1.4142463261774787,-2.237579881581844,0.35461426208483215,Low Risk
2020-05-21,0.0413062375289488,1.5782109289342738,-2.4657505845478873,0.02183674692052398,1.3516958924811096,-2.1373466872276277,0.3874901441615309,Low Risk
2020-05-22,0.04101044229926284,1.5932439869702115,-2.490248075045532,0.021514022158108017,1.4285944523672225,-2.260884819678593,-1.5744727694769822,High Risk
2020-05-25,0.04120351724659807,1.7179917901954627,-2.6883551098716754,0.021709821947902677,1.3763551214275542,-2.1773365068029835,1.2022100532528535,Low Risk
2020-05-26,0.04133668655095159,1.564257915157577,-2.444215697316999,0.021950947382032637,1.3345003579629282,-2.11052285144745,1.7167919270535466,Low Risk
2020-05-27,0.04148990584757461,1.5690481828073648,-2.4514773084512584,0.022004618419728866,1.2782447328518378,-2.0203619931115804,0.1233824186107754,Low Risk
2020-05-28,0.04164983039714502,1.51237072653004,-2.361078762188599,0.02209314492789379,1.224398177166833,-1.9340420169452062,0.24256682292876192,Low Risk
2020-05-29,0.04183107002677863,1.3942023164517776,-2.1729478739527703,0.022127789985363508,1.1722849636157733,-1.8505484982365454,0.011180849570807814,Low Risk
2020-06-01,0.041953858273837186,1.4197682954844135,-2.2137497625198206,0.022420700651130585,1.1464417526115565,-1.8092861033386574,1.7987207370817695,Low Risk
2020-06-02,0.04217342055208337,1.4989588642187222,-2.339421203064518,0.022679502776807428,1.1091521846455963,-1.7495654708889068,1.052309741033527,Low Risk
2020-06-03,0.04193468499319944,1.5071903184188076,-2.3525848994468217,0.023066255702893675,1.118069856894101,-1.7627813867057882,3.4986458637329507,Low Risk
2020-06-04,0.04214529825630811,1.8197575217107964,-2.8486467925935646,0.023168484462422832,1.0718928896517654,-1.6887258587529692,0.18869546794994055,Low Risk
2020-06-05,0.04230473044750243,1.4801118827745179,-2.309063712004983,0.023467864150742493,1.0506925027683531,-1.6548515928815404,1.4452511621723418,Low Risk
2020-06-08,0.042478269259109094,1.4710318525133421,-2.2942390195772013,0.023541695611804685,1.0075758808369346,-1.5857002941754161,0.05159837764885976,Low Risk
2020-06-09,0.04260537832276986,1.5638624846896187,-2.4413589937490134,0.02367262760130008,0.9670467192234447,-1.5206550983122105,0.18898056235298424,Low Risk
2020-06-10,0.042807294559397975,1.3604053316816265,-2.1177887927281436,0.02381964272513658,0.9287569323007536,-1.4591770085411635,0.19889124592536475,Low Risk
2020-06-11,0.042541673313141806,1.3413852609074084,-2.0880510143715596,0.023320761204330732,0.9962231430234605,-1.567725507963218,-1.1300329860315501,Low Risk
2020-06-12,0.04200723139952256,1.4889502116978557,-2.323255418836891,0.022816503586673084,1.2920055865382398,-2.0407004827057063,-2.398430679712527,High Risk
2020-06-15,0.04128918176605459,1.8139369613685605,-2.8383479757643637,0.022676896086846792,2.1420741219049946,-3.394984709594907,-5.032617879503466,High Risk
2020-06-16,0.04168014827695695,2.439000630750475,-3.828780742372448,0.02270575903516548,2.0767537238936282,-3.290061661263272,5.31966294630905,Low Risk
